case_id,phase,base_config,geometry_family,nx,ny,pinning_model,pinning_mu,pinning_sigma,pinning_lcorr,defect_count,b_dc,a_rf,omega,gamma_noise,dt,n_steps,ensemble_size,obs_stride,field_stride,goal,success_metric,promotion_rule,notes
G1_A05_F2_STRIP,D,configs/phase1_matrix_base.yaml,strip,24,12,none,0.0,0.0,0.0,0,0.0,0.05,2.0,0.0,0.01,4,1,1,2,phase-1 strip amplitude/frequency sweep,finite observables and zero vortices,gate:G1,clean geometry low amplitude low frequency
G1_A15_F2_STRIP,D,configs/phase1_matrix_base.yaml,strip,24,12,none,0.0,0.0,0.0,0,0.0,0.15,2.0,0.0,0.01,4,1,1,2,phase-1 strip amplitude/frequency sweep,finite observables and zero vortices,gate:G1,clean geometry high amplitude low frequency
G1_A05_F4_STRIP,D,configs/phase1_matrix_base.yaml,strip,24,12,none,0.0,0.0,0.0,0,0.0,0.05,4.0,0.0,0.01,4,1,1,2,phase-1 strip amplitude/frequency sweep,finite observables and zero vortices,gate:G1,clean geometry low amplitude high frequency
G1_A15_F4_STRIP,D,configs/phase1_matrix_base.yaml,strip,24,12,none,0.0,0.0,0.0,0,0.0,0.15,4.0,0.0,0.01,4,1,1,2,phase-1 strip amplitude/frequency sweep,finite observables and zero vortices,gate:G1,clean geometry high amplitude high frequency
G1_A05_F2_MOAT,D,configs/phase1_matrix_base.yaml,strip_with_moat,24,12,none,0.0,0.0,0.0,0,0.0,0.05,2.0,0.0,0.01,4,1,1,2,phase-1 geometry comparison,finite observables and zero vortices,gate:G1,moat geometry low amplitude low frequency
G1_A15_F2_MOAT,D,configs/phase1_matrix_base.yaml,strip_with_moat,24,12,none,0.0,0.0,0.0,0,0.0,0.15,2.0,0.0,0.01,4,1,1,2,phase-1 geometry comparison,finite observables and zero vortices,gate:G1,moat geometry high amplitude low frequency
G1_A05_F4_MOAT,D,configs/phase1_matrix_base.yaml,strip_with_moat,24,12,none,0.0,0.0,0.0,0,0.0,0.05,4.0,0.0,0.01,4,1,1,2,phase-1 geometry comparison,finite observables and zero vortices,gate:G1,moat geometry low amplitude high frequency
G1_A15_F4_MOAT,D,configs/phase1_matrix_base.yaml,strip_with_moat,24,12,none,0.0,0.0,0.0,0,0.0,0.15,4.0,0.0,0.01,4,1,1,2,phase-1 geometry comparison,finite observables and zero vortices,gate:G1,moat geometry high amplitude high frequency
