row_index,case_id,phase,status,dispatcher,attempts,expanded_config_path,base_config_ref,base_config_path,goal,success_metric,promotion_rule,notes,start_timestamp,stop_timestamp,wall_clock_seconds,run_dir,summary_path,failure_reason
1,VAL_A,D,success,run_simulation,1,G:\GitHub\incubate\QDP\runs\campaigns\matrix\20260413-125203\expanded_configs\001_VAL_A.yaml,base.yaml,C:\Users\Forre\AppData\Local\Temp\pytest-of-Forre\pytest-246\test_run_phase1_validation_wri0\base.yaml,small validation strip,bounded residual,gate:G1,small strip row,2026-04-13T12:52:03.700430,2026-04-13T12:52:03.776264,0.06732310000006692,G:\GitHub\incubate\QDP\runs\campaigns\matrix\20260413-125203\case_runs\VAL_A\20260413-125203,G:\GitHub\incubate\QDP\runs\campaigns\matrix\20260413-125203\case_runs\VAL_A\20260413-125203\observables\summary.json,
2,VAL_B,D,success,run_simulation,1,G:\GitHub\incubate\QDP\runs\campaigns\matrix\20260413-125203\expanded_configs\002_VAL_B.yaml,base.yaml,C:\Users\Forre\AppData\Local\Temp\pytest-of-Forre\pytest-246\test_run_phase1_validation_wri0\base.yaml,small validation moat,bounded residual,gate:G1,small moat row,2026-04-13T12:52:03.778016,2026-04-13T12:52:03.856368,0.06648009999844362,G:\GitHub\incubate\QDP\runs\campaigns\matrix\20260413-125203\case_runs\VAL_B\20260413-125203,G:\GitHub\incubate\QDP\runs\campaigns\matrix\20260413-125203\case_runs\VAL_B\20260413-125203\observables\summary.json,
