row_index,case_id,phase,status,dispatcher,attempts,expanded_config_path,base_config_ref,base_config_path,goal,success_metric,promotion_rule,notes,start_timestamp,stop_timestamp,wall_clock_seconds,run_dir,summary_path,failure_reason
1,VAL_A,D,success,run_simulation,1,G:\GitHub\incubate\QDP\runs\campaigns\matrix\20260413-125217\expanded_configs\001_VAL_A.yaml,base.yaml,C:\Users\Forre\AppData\Local\Temp\pytest-of-Forre\pytest-247\test_run_phase1_validation_wri0\base.yaml,small validation strip,bounded residual,gate:G1,small strip row,2026-04-13T12:52:17.341774,2026-04-13T12:52:17.413210,0.062840700000379,G:\GitHub\incubate\QDP\runs\campaigns\matrix\20260413-125217\case_runs\VAL_A\20260413-125217,G:\GitHub\incubate\QDP\runs\campaigns\matrix\20260413-125217\case_runs\VAL_A\20260413-125217\observables\summary.json,
2,VAL_B,D,success,run_simulation,1,G:\GitHub\incubate\QDP\runs\campaigns\matrix\20260413-125217\expanded_configs\002_VAL_B.yaml,base.yaml,C:\Users\Forre\AppData\Local\Temp\pytest-of-Forre\pytest-247\test_run_phase1_validation_wri0\base.yaml,small validation moat,bounded residual,gate:G1,small moat row,2026-04-13T12:52:17.414781,2026-04-13T12:52:17.489706,0.06352700000206823,G:\GitHub\incubate\QDP\runs\campaigns\matrix\20260413-125217\case_runs\VAL_B\20260413-125217,G:\GitHub\incubate\QDP\runs\campaigns\matrix\20260413-125217\case_runs\VAL_B\20260413-125217\observables\summary.json,
